Gene,Non-unique Gene name,Annotation,No. isolates
Cluster_22251,,,751
Cluster_9727,,,751
Cluster_16325,,,751
Cluster_10096,,,751
Cluster_8822,,,751
Cluster_12477,,,751
Cluster_15338,,,751
Cluster_15284,,,751
Cluster_11568,,,751
Cluster_19554,,,751
Cluster_21638,,,751
Cluster_14542,,,751
Cluster_13881,,,751
Cluster_8341,,,751
Cluster_20743,,,751
Cluster_15217,,,751
Cluster_12244,,,751
Cluster_15554,,,751
Cluster_14009,,,751
Cluster_22383,,,751
Cluster_15494,,,751
Cluster_5750,,,751
Cluster_5224,,,751
Cluster_14852,,,751
Cluster_14787,,,751
Cluster_2383,,,751
Cluster_6610,,,751
Cluster_21909,,,751
Cluster_16934,,,751
Cluster_17851,,,751
Cluster_20235,,,751
Cluster_22246,,,751
Cluster_19651,,,751
Cluster_15371,,,751
Cluster_7378,,,751
Cluster_13947,,,751
Cluster_15878,,,751
Cluster_13775,,,751
Cluster_17696,,,751
Cluster_11937,,,751
Cluster_16259,,,751
Cluster_10514,,,751
Cluster_21507,,,751
Cluster_4352,,,751
Cluster_8179,,,751
Cluster_16191,,,751
Cluster_3534,,,751
Cluster_21894,,,751
Cluster_14782,,,751
Cluster_1846,,,751
Cluster_20841,,,751
Cluster_13943,,,751
Cluster_13837,,,751
Cluster_22263,,,751
Cluster_20142,,,751
Cluster_12142,,,751
Cluster_21792,,,751
Cluster_15281,,,751
Cluster_8436,,,751
Cluster_15165,,,751
Cluster_19654,,,751
Cluster_12815,,,751
Cluster_22523,,,751
Cluster_22137,,,751
Cluster_22252,,,751
Cluster_22390,,,751
Cluster_20957,,,751
Cluster_15797,,,751
Cluster_15002,,,751
Cluster_16624,,,751
Cluster_15488,,,751
Cluster_21162,,,751
Cluster_22519,,,751
Cluster_19458,,,751
Cluster_16852,,,751
Cluster_8973,,,751
Cluster_8922,,,751
Cluster_16627,,,751
Cluster_21738,,,751
Cluster_11602,,,751
Cluster_13152,,,751
Cluster_8374,,,751
Cluster_2790,,,751
Cluster_10336,,,751
Cluster_3090,,,751
Cluster_8099,,,751
Cluster_12535,,,751
Cluster_5277,,,751
Cluster_16026,,,751
Cluster_13206,,,751
Cluster_15418,,,751
Cluster_11310,,,751
Cluster_22136,,,751
Cluster_11604,,,751
Cluster_21060,,,750
Cluster_11151,,,750
Cluster_12319,,,750
Cluster_11003,,,750
Cluster_16761,,,750
Cluster_19945,,,750
Cluster_9148,,,750
Cluster_13405,,,750
Cluster_16035,,,750
Cluster_20239,,,750
Cluster_8464,,,750
Cluster_6076,,,750
Cluster_16698,,,750
Cluster_14254,,,750
Cluster_12355,,,750
Cluster_11473,,,750
Cluster_8178,,,750
Cluster_16186,,,750
Cluster_21641,,,750
Cluster_16321,,,750
Cluster_11036,,,750
Cluster_14601,,,750
Cluster_21785,,,750
Cluster_18793,,,750
Cluster_5500,,,750
Cluster_5422,,,750
Cluster_8600,,,750
Cluster_3828,,,750
Cluster_22250,,,750
Cluster_19560,,,750
Cluster_4351,,,750
Cluster_22529,,,750
Cluster_22264,,,750
Cluster_15487,,,750
Cluster_18417,,,750
Cluster_9443,,,750
Cluster_9804,,,750
Cluster_12705,,,750
Cluster_8439,,,750
Cluster_11254,,,750
Cluster_4779,,,750
Cluster_15335,,,750
Cluster_12963,,,750
Cluster_12872,,,750
Cluster_18957,,,750
Cluster_9883,,,750
Cluster_5176,,,750
Cluster_13949,,,750
Cluster_15199,,,750
Cluster_8633,,,750
Cluster_17009,,,750
Cluster_17012,,,750
Cluster_14116,,,750
Cluster_22262,,,750
Cluster_10214,,,750
Cluster_12240,,,750
Cluster_9522,,,750
Cluster_8920,,,750
Cluster_9226,,,750
Cluster_6075,,,750
Cluster_15282,,,750
Cluster_5928,,,750
Cluster_20335,,,750
Cluster_20843,,,750
Cluster_21780,,,750
Cluster_13275,,,750
Cluster_20327,,,750
Cluster_9843,,,750
Cluster_8547,,,750
Cluster_4475,,,750
Cluster_14016,,,750
Cluster_18966,,,750
Cluster_5738,,,750
Cluster_21776,,,750
